id,zi,pinyin,bushou,bushoubh,zbh,kxzdbh,wb86,wb96,unicode,hzwx,jxyy,cyz,xmx,bsdx,jbjs,xhzdxxjs,hydzdjs,kxzdjs,swjzxj,swjzxjpic,zyybpic,xgsf,xgcy,xgchengyu,xgsc,kxzdpic
1,亅,jué,亅,1,1,1,HHLL,HHLL,U+4E85,,,否,非姓氏,竖,亅 jué 钩子。  笔画数：1； 部首：亅； 笔顺编号：2,暂无汉字(亅)的详细解释,"[①]［jué］［《廣韻》其月切，入月，羣。］钩子，下端向上弯曲的器物。《说文·亅部》：“亅，鉤逆者謂之亅。”今用作汉字笔画之一，称“竖钩”。","【子集上】【亅字部】 亅； 康熙笔画：1； 页码：页85第09(点击查看原图)【廣韻】【集韻】?其月切，音橜。【說文】鉤逆者謂之亅。象形。凡亅之屬皆从亅。讀若橜。","【卷十二】【亅部】 编号：8360  亅，[衢月切 ]，鉤逆者謂之亅。象形。凡亅之屬皆从亅。读若橜。","/public/hanzi/Zi/4E85.gif","/public/hanzi/Zy/4E85_1.gif/public/hanzi/Zy/4E85_2.gif","","","","","/public/hanzi/kangxi/0085.gif"
2,亊,shì,亅,1,7,7,GUVH,GUVH,U+4E8A,,,否,非姓氏,横捺撇折横横竖,亊 shì 古同“事”。  笔画数：7； 部首：亅； 笔顺编号：1435112,暂无汉字(亊)的详细解释,"[①]［shì］［《廣韻》鉏吏切，去志，崇。］亦作“亊1”。“叓1”的今字。“士2”的被通假字。(1)官职。(2)引申为职守、职权、责任。(3)职业。(4)事情，指人类生活中的一切活动和所遇到的一切现象。(5)指天子、诸侯的国家大事，如祭祀、盟会、兵戎等。(6)特指对外族进行战争。(7)事业；功业。(8)才能。(9)变故；事故。(10)物件，东西。(11)典故。(12)景物；景致。(13)侍奉；供奉。(14)指养育。(15)谓从师求学。(16)谓出嫁。(17)实践；从事。(18)治理；任事。(19)使用；役使。(20)勤劳，劳苦。(21)犹止，仅。(22)量词。件。(23)通“士”。[②]［zì］［《廣韻》側吏切，去志，莊。］亦作“亊1”。通“倳1”。通“剚1”。(1)立置。(2)插入，刺入。参见“事2刃”。,"【康熙字典】中没有查到汉字(亊)","【说文解字】中没有查到汉字(亊)","/public/hanzi/Zy/4E8A_1.gif","","","","","","","/public/hanzi/kangxi/0085.gif"
